date,gagnant,duree,coups
2025-04-15 09:24:30,X,5.89,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 2), (5, 6), (5, 0), (5, 1), (4, 2), (4, 3), (5, 4), (5, 5), (4, 6), (5, 1), (5, 4), (5, 0), (4, 1), (4, 2), (4, 3), (4, 4), (5, 5), (4, 6), (4, 6), (5, 5)]"
2025-04-15 09:24:38,X,6.13,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 2), (4, 3), (5, 0), (5, 1), (4, 2), (3, 3), (5, 4), (5, 5), (5, 6), (5, 0), (3, 3), (4, 0), (5, 1), (4, 2), (2, 3), (5, 4), (5, 5), (5, 6), (4, 2), (2, 3)]"
2025-04-15 09:24:48,X,8.54,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (4, 3), (3, 3), (5, 0), (5, 1), (5, 2), (2, 3), (5, 4), (5, 5), (5, 6), (5, 1), (5, 6), (5, 0), (4, 1), (5, 2), (2, 3), (5, 4), (5, 5), (4, 6), (4, 1), (5, 4), (5, 0), (3, 1), (5, 2), (2, 3), (4, 4), (5, 5), (4, 6), (4, 4), (5, 5)]"
2025-04-15 09:24:58,X,9.39,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 1), (4, 3), (5, 0), (4, 1), (5, 2), (3, 3), (5, 4), (5, 5), (5, 6), (5, 5), (3, 3), (5, 0), (4, 1), (5, 2), (2, 3), (5, 4), (4, 5), (5, 6), (5, 0), (2, 3)]"
2025-04-15 09:25:41,X,25.77,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 0), (5, 2), (4, 0), (5, 1), (4, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 5), (5, 1), (4, 0), (4, 1), (4, 2), (4, 3), (5, 4), (4, 5), (5, 6), (4, 5), (5, 4)]"
2025-04-15 09:25:51,X,8.73,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 1), (5, 6), (5, 0), (4, 1), (5, 2), (4, 3), (5, 4), (5, 5), (4, 6), (5, 2), (5, 4), (5, 0), (4, 1), (4, 2), (4, 3), (4, 4), (5, 5), (4, 6), (4, 4), (5, 5)]"
2025-04-15 09:28:56,X,15.03,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (4, 3), (5, 0), (4, 0), (5, 1), (5, 2), (3, 3), (5, 4), (5, 5), (5, 6), (5, 1), (5, 6), (4, 0), (4, 1), (5, 2), (3, 3), (5, 4), (5, 5), (4, 6), (5, 2), (5, 5), (4, 0), (4, 1), (4, 2), (3, 3), (5, 4), (4, 5), (4, 6), (4, 6), (5, 4)]"
2025-04-15 09:29:06,X,9.05,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (4, 3), (5, 0), (4, 0), (5, 1), (5, 2), (3, 3), (5, 4), (5, 5), (5, 6), (4, 0), (5, 6), (3, 0), (5, 1), (5, 2), (3, 3), (5, 4), (5, 5), (4, 6), (5, 5), (5, 4), (3, 0), (5, 1), (5, 2), (3, 3), (4, 4), (4, 5), (4, 6), (4, 5), (5, 1), (3, 0), (4, 1), (5, 2), (3, 3), (4, 4), (3, 5), (4, 6), (4, 6), (5, 2)]"
2025-04-15 09:29:18,X,10.93,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 0), (4, 0), (3, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 2), (5, 6), (3, 0), (5, 1), (4, 2), (4, 3), (5, 4), (5, 5), (4, 6), (4, 3), (5, 5), (3, 0), (5, 1), (4, 2), (3, 3), (5, 4), (4, 5), (4, 6), (3, 0), (5, 4)]"
2025-04-15 09:29:31,X,11.91,"[(5, 3), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (5, 5), (5, 6), (5, 6), (5, 5), (5, 0), (5, 1), (5, 2), (4, 3), (5, 4), (4, 5), (4, 6), (5, 4), (5, 0), (4, 0), (5, 1), (5, 2), (4, 3), (4, 4), (4, 5), (4, 6), (5, 1), (5, 2), (4, 0), (4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 6), (4, 2), (4, 3), (4, 0), (4, 1), (3, 2), (3, 3), (4, 4), (4, 5), (4, 6), (3, 2), (3, 3), (4, 0), (4, 1), (2, 2), (2, 3), (4, 4), (4, 5), (4, 6), (4, 4), (2, 3)]"
